,accuracy,precision,recall,f1,roc_auc,best_threshold,thresh_precision,thresh_recall,thresh_f1
logistic_regression,0.918215371607889,0.4099722991689751,0.029808660624370594,0.055576417574164476,0.7218520552637788,0.15861298249267966,0.21671494474841754,0.4068479355488419,0.282794343659604
random_forest,0.9183779653025056,0.302158273381295,0.008459214501510574,0.016457680250783698,0.7030608667977124,0.215,0.1853854040451114,0.40060422960725073,0.25347266428007414
xgboost,0.9190771181893567,0.4846938775510204,0.038267875125881166,0.07093522493933171,0.7467475519410218,0.1515485644340515,0.22464671654197838,0.435448136958711,0.29638768890598577
lightgbm,0.919386046209128,0.52046783625731,0.017925478348439074,0.03465732087227414,0.7476970545917359,0.16216659809554737,0.2367303609341826,0.4042296072507553,0.2985940633591846
